PROMPT,JAPANESE HAIKU,RUSSIAN TRANSLATION
Напиши хайку о шелке,敷紙に繭ぽと／＼とこぼしけり,На подстилочной бумаге коконы капают
Создай хайку о времени,水玉や一夜にくだく挿し忘れ,Горошек — за одну ночь сломал забытую ветку
Сочини хайку о огне,白日の夏炉を天にちかく焚く,Белым днём летний очаг жгу близко к небу
Напиши хайку о близости,男女来て夜の起居透く海の家,Мужчины и женщины приходят — ночные движения просвечивают — морской дом
Создай хайку об уединении,バンガロー隣といふも葛がくれ,"Бунгало — говорят, сосед — но скрыт плющом"
Сочини хайку о вентиляции,風通しよし西洋の弥次郎兵衛,Вентиляция хороша — западный ядзиробэй
Напиши хайку о насекомых,綟障子薄き蚊やりの流れけり,Плетёная сёдзи — тонкий поток комаров
Создай хайку о лесе,月さすや網戸に森の遠ざかる,Луна светит — на сетчатой двери лес удаляется
Сочини хайку о еде,鮮膾や露泛べたる錫の鉢,Свежее сашими — роса блестит — оловянная миска
Напиши хайку о сне,陶枕の冷えのまにまにわが昼寝,Фарфоровая подушка — следуя её прохладе — мой дневной сон
Создай хайку о свете,枝を払ふと星影しるき庭木哉,Раздвинув ветви — отчётливые звёздные тени — садовые деревья
Сочини хайку о прозрачности,古渡りの切子玲瓏そのものと,Старинный стеклянный сосуд — хрустально ясен сам по себе
Напиши хайку о звуках,不吉なる音立てて蚤取粉を噴ける,Зловещий звук — распыляю порошок от блох
Создай хайку о ветре,夜早ねん紙帳に風を入るゝ音,"Рано спать — звук ветра, входящего в бумажный полог"
Сочини хайку о насекомых,料理場や何から湧いて饗子の飛ぶ,Кухня — откуда появляются — летающие мошки
Напиши хайку о жилье,古る母子寮南京虫とイエスが棲む,Стареющее общежитие для матерей — живут клопы и Иисус
Создай хайку о движении,見る人も廻り灯籠に廻りけり,И зрители кружились вокруг вращающихся фонарей
Сочини хайку о жесте,殺してと身をそらしたる立版古,«Убей!» — и отклонил тело — бумажный театр
Напиши хайку о спорте,球場の夜戦の火色月に克つ,Ночная игра на стадионе — огненный цвет побеждает луну
Создай хайку о здоровье,夏風邪はなかなか老に重かりき,Летняя простуда оказалась довольно тяжелой для старика
Сочини хайку о звуках,いつも闇卯の花曇茶つみ声,Всегда темно — цветы дейции — облачно — звуки сбора чая
Напиши хайку о торговле,月かげや夜も水売る日本橋,Лунный свет — и ночью продают воду — Нихонбаси
Создай хайку о природе,野のすゑやかりぎの畑をいづる月,Край поля — и луна выходит над полем срубленных деревьев
Сочини хайку о лице,夏ぶしに顔も曲らずなりにけり,Летний бусси — и лицо тоже перестало искривляться
Напиши хайку о магазине,夏浅き草花店や種も売る,Начало лета — магазин трав и цветов — и семена продают
Создай хайку о памяти,麦寒の布子恋しや質の札,Холод пшеницы — по стёганой одежде тоскую — закладной билет
Сочини хайку о природе,走り梅雨刈られていまだ青き麦,Бегущие дожди — сжатая ещё зелёная пшеница
Напиши хайку о свете,日の丘に光る茅花にながし哉,На солнечном холме сверкают цветы мискантуса — как долго!
Создай хайку о ветре,天青和南薫すでに至るかな,Небесно-голубой — южный ветер уже достиг
Сочини хайку о цветении,花みづき十あまり咲けりけふも咲く,Дерево цветов — распустилось более десяти — сегодня тоже цветёт
Напиши хайку о семье,子を呼べば妻が来てをり五月尽,Позову ребёнка — и жена приходит — конец мая
Создай хайку о природе,満山の落葉松若葉となりにけり,Все горы — лиственницы стали молодыми листьями
Сочини хайку о времени,小満や後れし麦の山畑,Малое полноводие — отставшая пшеница — горное поле
Напиши хайку о путешествии,旅衣じめと筍梅雨にあり,Дорожная одежда — влажная — и бамбуковые побеги в дождливом сезоне
Создай хайку о погоде,山毛欅の花散来る雨の冷気かな,Цветки бука разлетаются — прохлада дождя
Сочини хайку о ветре,岩魚の瀬明けつゝ風の花胡桃,Перекат с гольцом — проясняясь — ветер — цветущий орех
Напиши хайку о облаках,石楠花や院前の石雲の如,Рододендрон — перед храмом камни как облака
Создай хайку о памяти,唯行つてゐしマロニエのヨーロッパ,Просто шёл — каштан — Европа
Сочини хайку о возрасте,仰ぎ見る樹齢いくばくぞ栃の花,Поднимаю взгляд — сколько лет дереву? — цветы конского каштана
Напиши хайку о природе,鉄塔の一脚に触れ螢草,Касаюсь одной ноги электрической башни — светлячковая трава
Создай хайку о ночлеге,夕飯の宿はあらはや姫女苑,Ночлег для ужина — уже виден — полевые цветы
Сочини хайку о расстоянии,甘草の遠きは星の堕ちしごと,Солодка — далёкая как падающая звезда
Напиши хайку о цвете,万緑の墨のごとしや海芋咲き,Вся зелень — как чернила — цветёт калла
Создай хайку о движении,つくばねさうかそけき風に揺らぐなり,Цукубанэ — качается на тонком ветру
Сочини хайку о прохладе,露涼し敷きたる如き吉字草,Роса прохладна — как расстеленная — трава счастливого иероглифа
Напиши хайку о возрасте,手の皺が歩み悪いか初螢,Морщины на руках — ухудшили походку? — первые светлячки
Создай хайку о свете,狐の提灯古みち失せて咲きにけり,Лисья лилия — старая тропа исчезла — и расцвела
Сочини хайку о сладости,丁字草花甘さうに咲きにけり,"Гвоздичная трава — цветёт, кажется, сладкой"
Напиши хайку о природе,列当咲くや海松乾す丘の上,Заразиха цветёт — сушу морскую сосну — на холме
Создай хайку о цвете,草苺朝の赤さや歌の中,Земляника — утренняя краснота — в песне
Сочини хайку о работе,風車の花咲く藪や厨口,Цветущие вертящиеся цветы в кустах — у входа на кухню
Напиши хайку об отдыхе,カーネーション籐椅子ならして骨牌とる,Гвоздика — расставляя плетёные стулья — играю в маджонг
Создай хайку о находке,庭石菖の花見つけたり夕歩き,Нашёл цветы садового аира — вечерняя прогулка
Сочини хайку о количестве,九輪草四五輪草でしまひけり,Девятицветная трава — четырьмя-пятью цветками закончил
Напиши хайку о светлячках,刈り敷きの濁りに浮きて螢かな,На мутной воде скошенной травы плавают светлячки
Создай хайку о городе,マーガレット東京の空よごれたり,Маргаритка — токийское небо грязное
Сочини хайку о путешествии,新麦はわざとすゝめぬ首途かな,Новая пшеница — намеренно не предлагаю — отправление в путь
Напиши хайку о выздоровлении,退院やなほ咲きつゞくゼラニウム,Выписался из больницы — всё ещё цветёт — герань
Создай хайку о море,青葉潮をかこみ其の中青い島をおく,Зелёные листья окружают прилив — и среди них лежит зелёный остров
Сочини хайку о времени,ちさの花野川にながれ田植前,Цветы чисы текут по полевой реке — перед посадкой риса
Напиши хайку о урожае,収穫すキャベツ白磁に蔬菜籠,Собираю капусту — в бело-фарфоровую овощную корзину
Создай хайку о празднике,羽織着て染屋が御霊祭かな,Надев хаори — красильщик на фестивале Горё
Сочини хайку о природе,青ざしや草餅の穂に出つらん,Синева — появляется на колосьях моти-травы
Напиши хайку о памяти,甃花塵止めず隠元忌,Мощёные цветы — пыль не прекращается — поминание Ингэна
Создай хайку о еде,夜の膳山葵の花をすこし噛み,Ночная трапеза — немного жую цветы васаби
Сочини хайку о детстве,こどもの日小さくなりし靴いくつ,День детей — несколько пар уменьшившейся обуви
Напиши хайку о простоте,傘や薪の夜のありとをし,Зонт и дрова — ночное существование
Создай хайку о празднике,君が代や筑摩祭も鍋一つ,«Кими га ё» — и фестиваль Цукума тоже один котёл
Сочини хайку о мечтах,白い羽根少女の夢のごと吹かれ,Белое перо — как мечта девушки — унесено ветром
Напиши хайку о матери,母の日の白きはなさしをとめさび,День матери — белый подарок — девичья грусть
Создай хайку о празднике,御柱や薙刀持ちの顔の汗,Священные столбы — потные лица держащих нагинаты
Сочини хайку о памяти,景清は地主祭にも七兵衛,Кагэкиё — и на фестивале землевладельца Ситибэй
Напиши хайку о аристократии,花すゝき大名衆を祭りかな,Цветы мискантуса — поклоняются даймё
Создай хайку о разговорах,小鳥週間をんな同士のよく喋り,Неделя птиц — женщины много болтают между собой
Сочини хайку о танце,初蟬は雑賀踊りのささらかな,Первые цикады — танец Сайка — погремушки
Напиши хайку о детях,子供等よ戻りにくれん千団子,Дети! — трудно вернуться — тысяча данго
Создай хайку о празднике,瓦煎餅反うつくしや楠公祭,Черепичное печенье — красиво изогнуто — фестиваль Кусуноки
Сочини хайку о простоте,浅草の祭りもなかや心太,Фестиваль Асакуса — тоже среди — желе из морских водорослей
Напиши хайку о состязании,堂形や今ぞさかへん大矢数,Форма зала — сейчас процветает — большое количество стрел
Создай хайку о порядке,巡査来て貴船は祭らしくなる,"Пришёл полицейский — Кифуне, кажется, празднует"
Сочини хайку о празднике,神橋にかゝる御輿や日光祭,На священном мосту — паланкин — фестиваль Никко
Напиши хайку о природе,ウェストン祭百のキャンプに星撒かる,Фестиваль Вестона — на сто лагерей рассыпаны звёзды
Создай хайку о спорте,ダービーの蹄駆け来るラジオの中,Копыта дерби мчатся — в радио
Сочини хайку о воде,水に日の恵みは深し昇天祭,Благодать воды и солнца глубока — праздник Вознесения
Напиши хайку о женщинах,酒を煮る家の女房ちよとほれた,"В доме, где варят саке, жена немного глуховата"
Создай хайку о беспорядке,梅雨寒や片付け物の片付かぬ,Холодный дождливый сезон — вещи не убираются
Сочини хайку о дожде,山の雨里にも降りぬく仲夏かな,Горный дождь — проливается и на деревню — середина лета
Напиши хайку о море,夏至白夜浪たちしらむ漁港かな,Летнее солнцестояние — белые ночи — волны белеют — рыбный порт
Создай хайку о возрасте,夏館老尼も泊りながし吹く,Летний дворец — старуха-монахиня тоже останавливается — играет на флейте
Сочини хайку о цветении,くちなしの花咲きそめし芒種かな,Садоваяния — начала цвести — время посева злаков
Напиши хайку о девушках,早乙女の五月雨髪や田植笠,Девушки-сажательницы риса — дождливые волосы — шляпы для посадки риса
Создай хайку о красоте,美しや榎の花のちる清水,Как красиво! — цветки эноки падают — чистый источник
Сочини хайку о дыхании,漆の花山ふかく来し息づきに,Цветки лакового дерева — глубоко в горах — с придыханием
Напиши хайку о простоте,掘立の腰掛台や雁皮咲く,Времянка — сиденье — цветёт гампи
Создай хайку о дожде,雲蒸して降りなやみたり櫨の花,Облака клубятся — дождь затрудняется — цветки воскового дерева
Сочини хайку о воде,白き花あれば水あり五月山,Где есть белые цветы — там есть вода — майская гора
Напиши хайку о рождении,蟬生まれ石ある方へ這ひにけり,"Родилась цикада — поползла туда, где камни"
Создай хайку о росте,やぶれがさむらがり生ひぬ梅雨の中,Рваная шляпа — растёт беспорядочно — в дождливом сезоне
Сочини хайку о памяти,春行くと敦盛草の花の幌,Весна уходит — цветки ацумори-травы — знамя
Напиши хайку о природе,道の辺や麦に咲入るうつぼ草,У края дороги — в пшеницу вцветает уцубо-трава
Создай хайку о безымянности,えぞにうの花咲き沼は名をもたず,Цветёт эзони — болото без имени
Сочини хайку о лете,桑やせし畑に舌吐く半夏かな,Шелковица истощена — на поле высовывает язык — половина лета
Напиши хайку о цветении,石垣に金糸梅咲く在家かな,На каменной стене цветёт кинсибай — мирянин
Создай хайку о семье,鶯の付子育つや小商ひ,Соловей — приёмный ребёнок растёт — маленький бизнес
Сочини хайку о уединении,紅葉ヶ谷か初蜩の籠りしは,Долина Момидзи? — первая цикада уединилась
Напиши хайку о море,ガーベラの炎だつなり海を見たし,Гербера — пламенеет — хочется увидеть море
Создай хайку о грусти,柾を葺く仮宮かなし小町草,Покрывая прямослойным деревом — грустное временное святилище — комати-трава
Сочини хайку о воде,五月川心細く水まさりたる,Майская река — неуверенно — вода прибывает
Напиши хайку о цвете,目のかぎり紫けぶり飛燕草,Насколько хватает глаз — фиолетовая дымка — живокость
Создай хайку о тоске,アイリスの咲けばこひしきあやめかな,Когда ирис цветёт — по нему тоскуешь — ирис
Сочини хайку о путешествии,川止や暗き燈に寄る旅役者,Остановка реки — у тёмного фонаря — странствующий актёр
Напиши хайку о празднике,祭の蛸祭の蛸と呼んで行く,Фестивальный осьминог — зову 'фестивальный осьминог' и иду
Создай хайку о бабочках,ふいと来た蝶など去らず水柏,Вдруг прилетевшая бабочка не уходит — водяной орех
Сочини хайку о прыжках,芹の花つけて蛙のとびにけり,С цветком сельдерея — лягушка прыгнула
Напиши хайку о дожде,納屋倉の横の梅雨茸梅雨入穴,Рядом с амбаром — дождевые грибы — дождевая нора
Создай хайку о еде,草の戸に麦藁鯛の奢りかな,У травяной двери — роскошь пшенично-соломенного морского леща
Сочини хайку о путешествии,海亀を旅せわしきに見て飽かず,"Морскую черепаху — вижу, как она суетливо путешествует — не могу насмотреться"
Напиши хайку о работе,新馬鈴薯や農夫掌よく乾き,Новый картофель — ладони фермера хорошо высохли
Создай хайку о хрупкости,亜麻の花ふるればもろく散りにけり,Цветки льна — если тронуть — хрупко осыпаются
Сочини хайку о движении,黍蒔くや多摩の渡しを人上る,Сею просо — на переправе Тама люди поднимаются
Напиши хайку о созревании,よく熟れて苗代苺向ふ岸,Хорошо созрела — клубника рассадного поля — противоположный берег
Создай хайку о цветении,芋の花月夜を咲きて無尽講,Цветки картофеля — цветут в лунную ночь — бесконечное собрание
Сочини хайку о времени,胡麻蒔くや交り穂の麦苅り後れ,Сею кунжут — переплетающиеся колосья — отставание в жатве пшеницы
Напиши хайку о погоде,オリーブの落花真白に梅雨曇り,Опавшие цветки оливы — белоснежные — облачный дождливый сезон
Создай хайку о сходстве,ひるがほに花こそ似たれ薩摩薯,Ипомее — цветок похож — сладкий картофель
Сочини хайку о празднике,新糸や梱あがりの祝ひ酒,Новые нити — праздничное саке после упаковки
Напиши хайку о природе,あらし吹け地主の桜の実や落ちん,Подуй буря — упадут ли плоды вишни землевладельца?
Создай хайку о сожалении,すぐりの実ふふみみちのく去りがたし,Плоды смородины — наступаю — трудно уйти
Сочини хайку о утре,朝冷や蒲団にまとふあやめ刈,Утренний холод — закутываюсь в футон — жну ирисы
Напиши хайку о запахах,真綿むく匂ひや里のはいり口,Запах сдирания шёлка-сырца — у входа в деревню
Создай хайку о празднике,相伴に蚊も騒ぎけり菖蒲酒,На вечеринке — и комары шумят — ирисовое вино
Сочини хайку о еде,吾が藪の筍ゑぐしあつめ汁,В моей роще — суп из собранных бамбуковых побегов
Напиши хайку о гостеприимстве,新茶買ふや県祭の泊り客,Покупаю новый чай — гости на ночь провинциального фестиваля
Создай хайку о памяти,おもふ人にあたれ印字のそら礫,Дорогому человеку — попади — печатное письмо-камень
Напиши хайку о театре,菖蒲太刀芝居に近き家かへむ,Ирисовый меч — возвращаюсь домой близко к театру
Создай хайку о памяти,東山そこら茶煙栄西忌,Восточная гора — вокруг чайный дым — поминание Эйсая
Сочини хайку о празднике,関帝祭覇王樹の葉かげさやかなり,Фестиваль Гуань-ди — листья кактуса ясны в тени
Напиши хайку о звуках,時の日の鐘鳴らしゐる野寺かな,В день Хотоки звонят в колокол — полевой храм
Создай хайку о море,穏かな波に品川祭かな,Спокойные волны — фестиваль Синагава
Сочини хайку о памяти,屋根／＼に木の葉ふるぶよ丈山忌,На крышах — листья падают — поминание Дзёдзана
Напиши хайку о памяти,悲壮なる父の為にもその日あり,Есть день и для трагического отца
Создай хайку о празднике,大鳥居めぐりつどひぬ祭舟,Вокруг большого тории собрались — праздничные лодки
Сочини хайку о закате,飾笠に夕日さしたる御田かな,На украшенных шляпах — закатное солнце — священное поле
Напиши хайку о простоте,我等まで天下祭や土ぐるま,Даже мы — всеобщий фестиваль — грязная телега
Создай хайку о красоте,大和路の床しさは今百合まつる,Прелесть дороги Ямато — сейчас поклоняюсь лилиям
Сочини хайку о времени,麦秋を我も行くなり丈山忌,Пшеничная осень — я тоже иду — поминание Дзёдзана
Напиши хайку о городе,ヨハネ祭巷に赤き百合咲きて,Фестиваль Иоанна — в переулках цветут красные лилии
Создай хайку о истории,風雨たゞ知れる治承や頼政忌,Ветер и дождь — только знающие — годовщина Ёримаса
Сочини хайку о горе,不二こりや朝風寒き濡褌,Фудзи — утренний ветер холоден — мокрые набедренные повязки
Напиши хайку о празднике,二人交す楽器鏡や曽我祭,Двое обмениваются — музыкальные инструменты и зеркала — фестиваль Сога
Создай хайку о болезни,コレラ出て佃祭も終りけり,Появилась холера — и фестиваль Цукуда тоже закончился
Сочини хайку о цветах,橘の花うき宿や五月忌,Цветки мандарина — плавучая гостиница — поминание в мае
Напиши хайку о розах,みちのくのバラの盛りの聖心祭,Мутновку — разгар роз — праздник Святого Сердца
Создай хайку о вере,炎熱のミサに加はりパウロ祭,В палящую жару присоединяюсь к мессе — праздник Павла
Сочини хайку о природе,陶に似て窓のアルプス聖母祭,Похоже на керамику — альпийское окно — праздник Девы Марии
Напиши хайку о чистоте,塵気なき白衣尊し聖霊祭,Без пыли — белые одежды священны — праздник Святого Духа
Создай хайку о времени,みな月の限りを風の吹夜哉,Все месяцы — до предела — ветреная ночь
Сочини хайку о одиночестве,いつ果てし夏ぞもひとり膝抱けば,Когда закончится? — и лето одиноко — обнимаю колени
Напиши хайку о осени,そよ／＼とあすくる秋や蚊やの裾,Тихонько — наступает осень — подол москитной сетки
Создай хайку о свете,岬の燈のまたゝき遠し土用あい,Свет мыса мерцает далеко — летняя встреча
Сочини хайку о громе,正直に梅雨雷の一つかな,Честно — один удар грома в сезон дождей
Напиши хайку о прохладе,道々の涼しさ告げよ土用東風,Сообщи о прохладе на дорогах — летний восточный ветер
Создай хайку о волнах,御祭風葺く朝波高し女夫巌,Праздничный ветер — утром высокие волны — супружеская скала
Сочини хайку о море,白南風の夕浪高うなりにけり,Белый южный ветер — вечерние волны стали высокими
Напиши хайку о воде,温風や土手をめぐりて水広し,Тёплый ветер — вокруг насыпи — вода широка
Создай хайку о пыли,庭山は埃汚れの溽暑かな,Садовые горы — грязные от пыли — влажная жара
Сочини хайку о утре,朝凪や楼の下漕ぐ船の音,Утренний штиль — под башней звук гребной лодки
Напиши хайку о облаках,朝焼の雲海尾根を溢れ落つ,Утренняя заря — море облаков переливается через хребет
Создай хайку о ветре,大法廷の視線一人に風死せり,В большом зале суда — взгляд одного человека — ветер умер
Сочини хайку об охоте,熱風に山七面鳥を狙い撃つ,В знойном ветре — прицеливаюсь в горную индейку
Напиши хайку о женщинах,女立たせてゆまるや赤き旱星,Заставив женщину встать — красная звезда засухи
Создай хайку о детях,炎ゆる海わんわんと児が泣き喚き,Пылающее море — ребёнок плачет и кричит
Сочини хайку о тайне,炎昼の女体のふかさはかられず,Жарким днём — глубина женского тела неизмерима
Напиши хайку о работе,堤行く歩行荷の息や油照り,Иду по насыпи — дыхание носильщика — масляная жара
Создай хайку о горах,灼けし岩噴煙けぶり行きがたし,Обожжённые скалы — вулканический дым — трудно идти
Сочини хайку о деревьях,うまや路の炎暑にたかき槇一樹,На дороге конюшни — одно дерево под высокой летней жарой
Напиши хайку о памяти,父恋し夏さむざむと裘,Скучаю по отцу — лето холодно — меховая одежда
Создай хайку о цветах,忘れゐし花紫を見に出づる,Забыл — выхожу посмотреть на пурпурные цветы
Сочини хайку о простоте,はますげやまさごのなかの筒井筒,Хамасугэ — среди песка — колодезная бадья
Напиши хайку о росе,赤富士に露滂沱たる四辺かな,Красная Фудзи — обильная роса — окрестности
Создай хайку о растениях,葉浦白うそよぎて暑し竹煮草,Белые листья залива — колышутся — жарко — бамбуковая варёная трава
Сочини хайку о доме,蜑が家の簾の裾の浦島草,Дом рыбаков — подол занавески — трава Урасима
Напиши хайку о силе,念力のゆるめば死ぬる大暑かな,Если ослабить силу воли — умрёшь — сильная жара
Создай хайку о дожде,小暑なほ降りつぐ梅雨のおくれ哉,Лёгкая жара — дождливый сезон всё ещё продолжается — отставание
Сочини хайку о питье,三伏の日に酒のみの額かな,В самые жаркие дни — лоб пьяницы
Напиши хайку о животных,繫がれて輪に食む牛や金剛草,Привязанный — корова ест из круга — конго-трава
Создай хайку о воде,草合歓を見せて出水の引きそめぬ,Показывая травяное шелковое дерево — начало наводнения
Сочини хайку о свете,大杉の又日を失し蔓手毬,Большая криптомерия — снова потеряла солнце — плющевый мяч
Напиши хайку о детях,青胡桃雲にちかぢか学ぶ子等,Зелёные грецкие орехи — дети учатся близко-близко к облакам
Создай хайку о отдыхе,岩梨に口潤しぬ斧休み,Скальная груба — рот увлажнился — перерыв в рубке
Сочини хайку о деревенской жизни,百姓屋いづくも留守や練雲雀,Крестьянские дома — везде нет дома — парящий жаворонок
Напиши хайку о одиночестве,霧深き積石に触るゝさびしさよ,В густом тумане — касаюсь сложенных камней — одиночество
Создай хайку о цветении,高嶺草夏咲く花を了りけり,Высокогорная трава — закончила летние цветы
Сочини хайку о звуках,鶯や音を入れて只青い鳥,Соловей — вкладывая звук — просто синяя птица
Напиши хайку о воде,岩かゞみ雪解千筋の簾なす,Скальное зеркало — тысячи ручьев талого снега — словно занавес
Создай хайку о облаках,ポッカらに雷雲のびて尾根を絶つ,В покка — грозовые облака тянутся и прерывают хребет
Сочини хайку о детях,あとさきに子よ岩陰のうさぎゞく,Впереди и позади — дитя! — в скальной тени кроличья нора
Напиши хайку о запахах,駒草に石なだれ山匂ひ立つ,На горе гентане — каменная осыпь — поднимается аромат
Создай хайку о цветах,岸壁の亀裂千島桔梗もて埋め,Трещины скалистого берега — заполнены тысячей островных колокольчиков
Сочини хайку о свете,揺れ合へり霧透す日の岩桔梗,Колышутся — сквозь туман просвечивает солнце — скальные колокольчики
Напиши хайку о ветре,黒百合や風の行方に塩見岳,Чёрная лилия — направление ветра — гора Сиоми
Создай хайку о горах,つかざくら見つゝポッカに越されしを,Цукадзакура — смотря — перевалил через покка
Сочини хайку о красоте,薄雪草穂高の霧が巌涵す,Эдельвейс — туман Хотака проникает в скалу
Напиши хайку о ожидании,ちんぐるま霧りんりんとわれを待つ,Колесница — туман звеняще ждёт меня
Создай хайку о скорости,霧疾しはくさんいちげひた靡き,Туман быстр — хакусан-итиге полностью склонилось
Сочини хайку о тропе,岩蓼や沼見下ろしに径乾き,Скальная гречиха — смотря вниз на болото — тропа сухая
Напиши хайку о вечере,夕かはづ日光黄菅野にとまる,Вечерняя лягушка — останавливается на поле жёлтых сундуков Никко
Создай хайку о памяти,しをがまのむらさき深く越えしなり,Сиогама — перешёл глубокий пурпур
Сочини хайку о звуках,ザイル張る声の落ちくる風露草,Натягивающий верёвку — голос падает — трава ветра и росы
Напиши хайку о приглашении,わたすげの泉辺ひとを誘ひをり,Ватасугэ — у источника завлекает людей
Создай хайку о путешествии,ゆふすげや旅のとまりのところにて,Юсугэ — на месте ночлега в путешествии
Сочини хайку о эхе,白根葵咲けりといふよ山彦も,"Белокоренная мальва — говорят, цветёт — и эхо"
Напиши хайку о одиночестве,雪渓虫見しさびしさのひろごれる,Снежный червь — увиденное одиночество распространилось
Создай хайку о полете,風つよし岩づたひ飛ぶ深山蝶,Ветер силён — летит вдоль скал — горная бабочка
Сочини хайку о потере,山霧や君を咫尺に見失ふ,Горный туман — теряю тебя из виду на расстоянии
Напиши хайку о цветении,夏水仙大地より花を開きけり,Летний нарцисс — раскрыл цветы от земли
Создай хайку о росте,竜の髭茂りぬ花のひそみより,Борода дракона — разрослась — из цветочных бутонов
Сочини хайку о природе,富士晴れに瑞の葉ささぐ孔雀歯朶,Фудзи в ясную погоду — подносят листья дзуй — павлиньий папоротник
Напиши хайку о насекомых,蚊柱や棗の花の咲くあたり,"Столб комаров — там, где цветут цветы нацумэ"
Создай хайку о цветах,練塀の内や要の花一と樹,За беленой стеной — одинокое дерево с цветами кана
Сочини хайку о времени,野牡丹の一と日の命けさあえか,Дикая мальва — жизнь в один день — сегодня блеклая
Напиши хайку о горах,さびた咲き摩周岳けふ雲絶えつ,Ржавое цветение — гора Машу сегодня без облаков
Создай хайку о росте,ユツカ高し背高き乙女より高し,Юцука высока — выше высокой девушки
Сочини хайку о кладбище,仏桑花の長き垣あり異人墓地,Гибискус — длинный забор — кладбище иностранцев
Напиши хайку о деревьях,天蓋のごとく菩提樹咲きにけり,Как балдахин — липа зацвела
Создай хайку о людях,草よりも人のはかなき雨祝ひ,Трава — но люди мимолётны — праздник дождя
Сочини хайку о вечере,夕餉して居どこにまよふ土用凪,Поужинав — не могу найти место для сидения — летний штиль
Напиши хайку о работе,除草機を山へ押しまた町へ押す,Толкаю прополочную машину в горы — и снова в город
Создай хайку о звуках,乾きたる昆布からからと風ありぬ,Высушенные водоросли — сухие-сухие — есть ветер
Сочини хайку о путешествии,みちのくを来てわが傍に青林檎,Приехал в Митиноку — рядом со мной зелёное яблоко
Напиши хайку о аромате,茉莉花を拾ひたる手もまた匂ふ,Поднявший цветы жасмина — руки тоже пахнут
Создай хайку о росе,葉生姜やかりゝかりゝと露の玉,Листья имбиря — кари-кари — капли росы
Сочини хайку о растениях,夏豆の二葉や麦の株返し,Два листа летних бобов — переворачиваю пшеничные стерни
Напиши хайку о простоте,つるなしのいんげんといふやはらかし,Без усиков — называются ингэн — мягкие
Создай хайку о возвращении,バナナ下げて子等に帰りし日暮かな,С бананами — вернулся к детям — вечер
Сочини хайку о покупках,鳳梨を買ふ吾も亦船の客,Покупаю ананас — я тоже пассажир корабля
Напиши хайку о утре,朝顔を見にしのゝめの人通り,Чтобы посмотреть на ипомеи — на рассвете люди
Создай хайку о истории,国振りを馬に晴衣や野駈武者,Размахивая знаменем — на лошади праздничная одежда — полевой воин
Сочини хайку о дани,世の貢多かる中に氷のみつぎ,Среди многих даров мира — только подношение льда
Напиши хайку о поле,岬の根にすぼまる畑の黄麻かな,У основания мыса — сжатое поле — жёлтая конопля
Создай хайку о луне,三日月のいつか出てゐる莔麻哉,Полумесяц — уже вышел — конопля
Сочини хайку о растениях,草々の中より高き蘿摩かな,Среди трав — высокая — луо-ма
Напиши хайку о поте,汝が胸の谷間の汗や巴里祭,В ложбинке твоей груди пот — парижский фестиваль
Создай хайку о празднике,蝙蝠や津島祭の忌竹立つ,Летучие мыши — фестиваль Цусима — ставят запретные бамбуки
Сочини хайку о жаре,木の端の坊主も暑し六月会,Конец дерева — и монаху жарко — июньское собрание
Напиши хайку о памяти,夏萩に海女が供養や志度詣,На летнем клевере — поминание ама — паломничество в Сидо
Создай хайку о работе,納太刀かつぐ背中や汗にじむ,Несу подношение меча — спина — проступает пот
Сочини хайку о празднике,河童忌や河童のかづく秋の草,День поминовения каппы — каппа прячется — осенняя трава
Напиши хайку о времени,川祭明日にせまりぬ一夜酒,Речной фестиваль — приближается завтра — ночная выпивка
Создай хайку о памяти,座摩祭古き舟場を思ふ也,Фестиваль Дзама — вспоминаю старую пристань
Сочини хайку о семье,子のぶんを母いたゞくや嘉定食,Долю ребёнка — мать получает — касёку
Напиши хайку о путешествии,舟たてゝ参る唐崎祭かな,Сажусь в лодку — отправляюсь на фестиваль Карасаки
Создай хайку о вере,千日詣で火防ぎの御札かぞへけり,Тысячедневное паломничество — считаю талисманы от огня
Сочини хайку о памяти,みたらしやきのふは吾妻の十団子,Митараси — вчера были десять данго моей жены
Напиши хайку о времени,禰宜呼びに行かば日の入る夏神楽,Если пойду звать жреца — зайдёт солнце — летний кагура
Создай хайку о милосердии,腹あしき僧こぼし行く施米かな,Жадный монах — рассыпает — подаяние риса
